    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0001   3.584E+01   1.2000   0.1277   0.000E+00   3.92342377E+01   6.00391446E+01
       1       35.8443     1.0358   3.584E+01   1.2000   0.2617   8.035E-18   3.92695454E+01   6.00075098E+01
       2       71.6885     0.0052   3.584E+01   1.2000   0.2604   8.341E-18   3.93049293E+01   5.99783859E+01
       3       107.532     0.0052   3.584E+01   1.2000   0.2592   8.303E-18   3.93402491E+01   5.99514907E+01
       4       143.376     0.0050   3.584E+01   1.2000   0.2580   8.350E-18   3.93755151E+01   5.99265690E+01
       5        179.22     0.0052   3.584E+01   1.2000   0.2568   8.024E-18   3.94107314E+01   5.99034028E+01
       6       215.064     0.0052   3.584E+01   1.2000   0.2557   8.293E-18   3.94458922E+01   5.98818168E+01
       7       250.907     0.0049   3.584E+01   1.2000   0.2547   8.306E-18   3.94809949E+01   5.98616681E+01
       8       286.751     0.0049   1.325E+01   0.4436   0.0938   8.684E-18   3.95160417E+01   5.98428402E+01
       9           300     0.0050   3.584E+01   1.2000   0.2531   7.280E-18   3.95289823E+01   5.98361964E+01
      10       335.843     2.5299   3.584E+01   1.2000   0.2525   8.305E-18   3.95639523E+01   5.98190276E+01
      11       371.687     0.0054   3.584E+01   1.2000   0.2518   8.176E-18   3.95988612E+01   5.98029838E+01
      12        407.53     0.0048   3.584E+01   1.2000   0.2512   8.089E-18   3.96337089E+01   5.97880096E+01
      13       443.373     0.0048   3.584E+01   1.2000   0.2506   8.295E-18   3.96684991E+01   5.97740609E+01
      14       479.216     0.0047   3.584E+01   1.2000   0.2501   8.086E-18   3.97032248E+01   5.97611031E+01
      15       515.059     0.0048   3.584E+01   1.2000   0.2497   8.171E-18   3.97378838E+01   5.97491103E+01
      16       550.902     0.0047   3.584E+01   1.2000   0.2493   8.360E-18   3.97724780E+01   5.97380641E+01
      17       586.745     0.0049   1.326E+01   0.4438   0.0921   8.242E-18   3.98070014E+01   5.97279532E+01
      18           600     0.0048   3.584E+01   1.2000   0.2488   7.047E-18   3.98197515E+01   5.97244514E+01
      19       635.843     2.7040   3.584E+01   1.2000   0.2489   7.902E-18   3.98541832E+01   5.97156151E+01
      20       671.686     0.0049   3.584E+01   1.2000   0.2492   8.412E-18   3.98885499E+01   5.97077109E+01
      21       707.528     0.0051   3.584E+01   1.2000   0.2497   8.113E-18   3.99228529E+01   5.97007480E+01
      22       743.371     0.0050   3.584E+01   1.2000   0.2504   7.711E-18   3.99570887E+01   5.96947406E+01
      23       779.214     0.0050   3.584E+01   1.2000   0.2511   8.528E-18   3.99912574E+01   5.96897085E+01
      24       815.056     0.0049   3.584E+01   1.2000   0.2519   8.260E-18   4.00253627E+01   5.96856765E+01
      25       850.899     0.0049   3.584E+01   1.2000   0.2558   8.269E-18   4.00594075E+01   5.96826751E+01
      26       886.741     0.0052   1.326E+01   0.4439   0.0971   8.146E-18   4.00933902E+01   5.96807398E+01
